Removed Pin From Net: NetName=80 Pin=JP2-32
Added Component: Designator=JP3(Double Row 18P 2.54mm)
Added Component: Designator=JP4(Double Row 18P 2.54mm)
Added Pin To Net: NetName=50 Pin=JP2-32
Added Pin To Net: NetName=51 Pin=JP3-1
Added Pin To Net: NetName=52 Pin=JP3-2
Added Pin To Net: NetName=53 Pin=JP3-3
Added Pin To Net: NetName=54 Pin=JP3-4
Added Pin To Net: NetName=55 Pin=JP3-5
Added Pin To Net: NetName=56 Pin=JP3-6
Added Pin To Net: NetName=57 Pin=JP3-7
Added Pin To Net: NetName=58 Pin=JP3-8
Added Pin To Net: NetName=59 Pin=JP3-9
Added Pin To Net: NetName=60 Pin=JP3-10
Added Pin To Net: NetName=61 Pin=JP3-11
Added Pin To Net: NetName=62 Pin=JP3-12
Added Pin To Net: NetName=63 Pin=JP3-13
Added Pin To Net: NetName=64 Pin=JP3-14
Added Pin To Net: NetName=65 Pin=JP3-15
Added Pin To Net: NetName=66 Pin=JP3-16
Added Pin To Net: NetName=67 Pin=JP3-17
Added Pin To Net: NetName=68 Pin=JP3-18
Added Pin To Net: NetName=1 Pin=JP4-1
Added Pin To Net: NetName=2 Pin=JP4-2
Added Pin To Net: NetName=3 Pin=JP4-3
Added Pin To Net: NetName=4 Pin=JP4-4
Added Pin To Net: NetName=5 Pin=JP4-5
Added Pin To Net: NetName=6 Pin=JP4-6
Added Pin To Net: NetName=7 Pin=JP4-7
Added Pin To Net: NetName=8 Pin=JP4-8
Added Pin To Net: NetName=9 Pin=JP4-9
Added Pin To Net: NetName=10 Pin=JP4-10
Added Pin To Net: NetName=11 Pin=JP4-11
Added Pin To Net: NetName=12 Pin=JP4-12
Added Pin To Net: NetName=13 Pin=JP4-13
Added Pin To Net: NetName=14 Pin=JP4-14
Added Pin To Net: NetName=15 Pin=JP4-15
Added Pin To Net: NetName=16 Pin=JP4-16
Added Pin To Net: NetName=17 Pin=JP4-17
Added Pin To Net: NetName=18 Pin=JP4-18
Added Member To Class: ClassName=LQFP (32-100 PIN) 0.5mm Member=Component JP3 HEADER 9X2
Added Member To Class: ClassName=LQFP (32-100 PIN) 0.5mm Member=Component JP4 HEADER 9X2
